cityID,stateID
28,39
400,43
332,9
474,25
451,29
260,43
485,4
367,4
685,14
49,3
190,39
247,33
641,42
275,45
339,26
409,7
234,34
166,29
483,7
579,43
414,19
117,11
443,38
221,6
472,32
193,20
266,7
455,4
168,44
23,4
558,4
8,44
140,39
653,32
174,39
442,7
86,34
151,5
79,19
64,12
265,26
255,39
411,39
299,27
369,4
11,42
498,34
557,4
175,5
695,4
54,4
254,9
24,8
599,23
693,11
410,7
239,26
545,28
554,39
99,30
563,4
7,13
205,34
386,4
381,44
347,15
529,4
251,7
506,29
603,23
352,7
507,20
70,19
413,28
575,29
67,7
296,29
271,4
538,4
229,8
456,4
115,18
416,24
532,26
448,31
143,6
461,7
561,29
74,6
33,7
482,29
528,4
511,18
164,29
596,29
63,20
549,7
109,36
272,7
469,11
690,45
720,31
553,4
457,19
500,2
308,38
524,44
510,4
670,42
449,16
136,29
480,29
216,20
404,38
150,7
556,4
127,18
701,34
182,3
57,20
525,4
131,7
178,34
91,4
342,14
206,11
207,4
502,7
163,29
125,34
368,4
551,41
481,4
362,24
60,44
98,12
73,24
610,5
682,39
330,11
128,7
591,28
452,29
599,11
669,42
435,29
503,4
578,2
359,45
268,12
564,4
81,39
490,2
546,29
338,29
606,7
61,20
53,18
360,3
188,5
193,38
453,4
565,4
246,11
516,35
264,10
642,39
123,7
399,42
630,7
602,40
638,2
220,30
572,7
328,4
560,39
639,39
47,34
392,21
501,34
331,7
458,4
632,29
598,3
574,17
684,19
664,4
424,4
189,7
51,4
395,4
508,33
233,22
80,31
665,4
573,4
475,7
559,43
169,32
172,4
405,4
29,7
165,6
217,33
173,39
161,30
167,34
657,7
114,19
583,34
465,29
535,29
290,7
493,41
594,37
721,20
473,6
462,29
566,4
267,5
420,29
15,28
138,4
147,7
608,4
18,18
326,4
301,7
515,28
347,19
604,21
387,7
517,41
121,31
364,41
122,39
719,29
530,4
186,7
350,29
248,4
646,2
43,29
691,7
547,29
298,25
26,34
487,34
21,5
419,18
363,29
657,26
657,42
468,29
48,4
245,4
72,5
504,21
476,21
176,5
415,21
370,34
124,38
3,1
429,29
276,7
537,29
124,31
110,38
377,18
201,38
291,7
555,4
20,4
513,34
